Author,Message
Henry Ward Beecher,"Every artist dips his brush in his own soul, and paints his own nature into his pictures."
Heraclitus,All is flux; nothing stays still.
Heraclitus,"You cannot step twice into the same river, for other waters are continually flowing in."
Herbert Swope,"I cannot give you the formula for success, but I can give you the formula for failure: which is: Try to please everybody."
Hermann Hesse,"If I know what love is, it is because of you."
Holmes,Fame usually comes to those who are thinking about something else.
Honore de Balzac,"The smallest flower is a thought, a life answering to some feature of the Great Whole, of whom they have a persistent intuition."
Honore de Balzac,"When you doubt your power, you give power to your doubt."
Horace,"Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant."
Horace,"Begin, be bold, and venture to be wise."
Horace Friess,All seasons are beautiful for the person who carries happiness within.
Hugh Miller,Problems are only opportunities with thorns on them.
Immanuel Kant,"All our knowledge begins with the senses, proceeds then to the understanding, and ends with reason. There is nothing higher than reason."
Immanuel Kant,Science is organized knowledge. Wisdom is organized life.
Indira Gandhi,You can't shake hands with a clenched fist.
Ingrid Bergman,"You must train your intuition, you must trust the small voice inside you which tells you exactly what to say, what to decide."
Iris Murdoch,We can only learn to love by loving.
Isaac Asimov,A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.
Isocrates,The noblest worship is to make yourself as good and as just as you can.
Ivy Baker Priest,The world is round and the place which may seem like the end may also be the beginning.
J. Willard Marriott,"Good timber does not grow with ease; the stronger the wind, the stronger the trees."
Jack Buck,Things turn out best for those who make the best of the way things turn out.
Jack Dixon,"If you focus on results, you will never change. If you focus on change, you will get results."
Jacob Braude,Consider how hard it is to change yourself and you'll understand what little chance you have in trying to change others.
James Barrie,We never understand how little we need in this world until we know the loss of it.
James Faust,"If you take each challenge one step at a time, with faith in every footstep, your strength and understanding will increase."
James Freeman Clarke,We are either progressing or retrograding all the while. There is no such thing as remaining stationary in this life.
James Lowell,A weed is no more than a flower in disguise.
James Openheim,The foolish man seeks happiness in the distance; the wise grows it under his feet.
James Oppenheim,"The foolish man seeks happiness in the distance, the wise grows it under his feet."
James Pence,"Success is determined by those whom prove the impossible, possible."
James Yorke,The most successful people are those who are good at plan B.
Jamie Paolinetti,"Limitations live only in our minds. But if we use our imaginations, our possibilities become limitless."
Jane Addams,"Nothing could be worse than the fear that one had given up too soon, and left one unexpended effort that might have saved the world."
Jane Addams,"Our doubts are traitors and make us lose the good we often might win, by fearing to attempt."
Jane Roberts,"By accepting yourself and being fully what you are, your presence can make others happy."
Janis Joplin,Don't compromise yourself. You are all you've got.
Japanese proverb,The day you decide to do it is your lucky day.
Japanese proverb,Vision without action is a daydream. Action without vision is a nightmare.
Jason Fried,No is easier to do. Yes is easier to say.
Jawaharlal Nehru,A leader or a man of action in a crisis almost always acts subconsciously and then thinks of the reasons for his action.
Jean de la Fontaine,Sadness flies away on the wings of time.
Jean Lacordaire,"Neither genius, fame, nor love show the greatness of the soul. Only kindness can do that."
Jean Lacordaire,"We are the leaves of one branch, the drops of one sea, the flowers of one garden."
Jean-Paul Sartre,Freedom is what you do with what's been done to you.
Jean-Paul Sartre,"Man is not sum of what he has already, but rather the sum of what he does not yet have, of what he could have."
Jessamyn West,It is very easy to forgive others their mistakes; it takes more grit to forgive them for having witnessed your own.
Jim Beggs,"Before you put on a frown, make absolutely sure there are no smiles available."
Jim Bishop,The future is an opaque mirror. Anyone who tries to look into it sees nothing but the dim outlines of an old and worried face.
Jim Rohn,Either you run the day or the day runs you.
Jim Rohn,Give whatever you are doing and whoever you are with the gift of your attention.
Jim Rohn,"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much."
Jim Rohn,"The more you care, the stronger you can be."
Jimmy Dean,"I can't change the direction of the wind, but I can adjust my sails to always reach my destination."
Joan Didion,"To free us from the expectations of others, to give us back to ourselves, there lies the great, singular power of self-respect."
Joe Namath,"If you aren't going all the way, why go at all?"
Joe Paterno,Believe deep down in your heart that you're destined to do great things.
Johann Wolfgang von Goethe,A really great talent finds its happiness in execution.
Johann Wolfgang von Goethe,Character develops itself in the stream of life.
Johann Wolfgang von Goethe,"Correction does much, but encouragement does more."
Johann Wolfgang von Goethe,Difficulties increase the nearer we get to the goal.
Johann Wolfgang von Goethe,Great talent finds happiness in execution.
Johann Wolfgang von Goethe,"If you must tell me your opinions, tell me what you believe in. I have plenty of douts of my own."
Johann Wolfgang von Goethe,In the end we retain from our studies only that which we practically apply.
Johann Wolfgang von Goethe,Kindness is the golden chain by which society is bound together.
Johann Wolfgang von Goethe,Knowing is not enough; we must apply!
Johann Wolfgang von Goethe,Mountains cannot be surmounted except by winding paths.
Johann Wolfgang von Goethe,"People are so constituted that everybody would rather undertake what they see others do, whether they have an aptitude for it or not."
Johann Wolfgang von Goethe,"Sometimes our fate resembles a fruit tree in winter. Who would think that those branches would turn green again and blossom, but we hope it, we know it."
Johann Wolfgang von Goethe,The person born with a talent they are meant to use will find their greatest happiness in using it.
Johann Wolfgang von Goethe,"The really unhappy person is the one who leaves undone what they can do, and starts doing what they don't understand; no wonder they come to grief."
Johann Wolfgang von Goethe,Treat people as if they were what they ought to be and you help them to become what they are capable of being.
Johann Wolfgang von Goethe,"Wherever a man may happen to turn, whatever a man may undertake, he will always end up by returning to the path which nature has marked out for him."
Johannes Gaertner,"To speak gratitude is courteous and pleasant, to enact gratitude is generous and noble, but to live gratitude is to touch Heaven."
John Acosta,You cannot have what you do not want.
John Adams,Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.
John Astin,There are things so deep and complex that only intuition can reach it in our stage of development as human beings.
John Barrymore,Happiness often sneaks in through a door you didn't know you left open.
John Berry,The bird of paradise alights only upon the hand that does not grasp.
John De Paola,Slow down and everything you are chasing will come around and catch you.
John Dewey,Arriving at one point is the starting point to another.
John Dewey,"Conflict is the gadfly of thought. It stirs us to observation and memory. It instigates to invention. It shocks us out of sheeplike passivity, and sets us at noting and contriving."
John Dewey,Every great advance in science has issued from a new audacity of the imagination.
John Dewey,"The self is not something ready-made, but something in continuous formation through choice of action."
John Dewey,"Without some goals and some efforts to reach it, no man can live."
John Dryden,A thing well said will be wit in all languages.
John Dryden,Fortune befriends the bold.
John Eliot,All the great performers I have worked with are fuelled by a personal dream.
John F. Kennedy,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them."
John Holmes,Never tell a young person that anything cannot be done. God may have been waiting centuries for someone ignorant enough of the impossible to do that very thing.
John Junor,An ounce of emotion is equal to a ton of facts.
John Kennedy,Change is the law of life. And those who look only to the past or present are certain to miss the future.
John Kennedy,"Let us resolve to be masters, not the victims, of our history, controlling our own destiny without giving way to blind suspicions and emotions."
John Lennon,Life is what happens to you while you're busy making other plans.
John Lennon,Life is what happens while you are making other plans.
John Lennon,Love is the flower you've got to let grow.
John Lennon,Reality leaves a lot to the imagination.
John Lennon,"Time you enjoy wasting, was not wasted."
John Lennon,Time you enjoyed wasting was not wasted.
John Lennon,"Yeah we all shine on, like the moon, and the stars, and the sun."
John Lennon,"You may say Im a dreamer, but Im not the only one, I hope someday you will join us, and the world will live as one."
John Locke,I have always thought the actions of men the best interpreters of their thoughts.
John Lubbock,A day of worry is more exhausting than a day of work.
John Lubbock,What we see depends mainly on what we look for.
John Marshall,To listen well is as powerful a means of communication and influence as to talk well.
John Muir,"When one tugs at a single thing in nature, he finds it attached to the rest of the world."
John Petit-Senn,Not what we have but what we enjoy constitutes our abundance.
John Pierrakos,"Life is movement-we breathe, we eat, we walk, we move!"
John Powell,The only real mistake is the one from which we learn nothing.
John Quincy Adams,"If your actions inspire others to dream more, learn more, do more and become more, you are a leader."
John Ruskin,Quality is never an accident; it is always the result of intelligent effort.
John Ruskin,"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather."
John Simone,"If you're in a bad situation, don't worry it'll change. If you're in a good situation, don't worry it'll change."
John Steinbeck,"If we could learn to like ourselves, even a little, maybe our cruelties and angers might melt away."
John Updike,"Dreams come true. Without that possibility, nature would not incite us to have them."
John Wooden,Never mistake activity for achievement.
John Wooden,You can't let praise or criticism get to you. It's a weakness to get caught up in either one.
Jon Kabat-Zinn,"You can't stop the waves, but you can learn to surf."
Jonas Salk,Intuition will tell the thinking mind where to look next.
Jonathan Kozol,"Pick battles big enough to matter, small enough to win."
Jonathan Swift,Discovery consists of seeing what everybody has seen and thinking what nobody else has thought.
Joseph Campbell,"When we quit thinking primarily about ourselves and our own self-preservation, we undergo a truly heroic transformation of consciousness."
Joseph Campbell,Your sacred space is where you can find yourself again and again.
Joseph Joubert,He who has imagination without learning has wings but no feet.
Joseph Roux,"A fine quotation is a diamond on the finger of a man of wit, and a pebble in the hand of a fool."
Joseph Stalin,"I believe in one thing only, the power of human will."
Joyce Brothers,Trust your hunches. They're usually based on facts filed away just below the conscious level.
Jules Poincare,"It is through science that we prove, but through intuition that we discover."
Julie Morgenstern,"Some people thrive on huge, dramatic change. Some people prefer the slow and steady route. Do what's right for you."
Julius Charles Hare,Be what you are. This is the first step toward becoming better than you are.
Kahlil Gibran,A little knowledge that acts is worth infinitely more than much knowledge that is idle.
Kahlil Gibran,"Be like the flower, turn your face to the sun."
Kahlil Gibran,Beauty is not in the face; beauty is a light in the heart.
Kahlil Gibran,"To understand the heart and mind of a person, look not at what he has already achieved, but at what he aspires to do."
Kahlil Gibran,We choose our joys and sorrows long before we experience them.
Karen Clark,Life is change. Growth is optional. Choose wisely.
Katherine Mansfield,Make it a rule of life never to regret and never to look back. Regret is an appalling waste of energy; you can't build on it; it's only for wallowing in.
Kathleen Norris,"All that is necessary is to accept the impossible, do without the indispensable, and bear the intolerable."
Ken S. Keyes,To be upset over what you don't have is to waste what you do have.
Kenji Miyazawa,We must embrace pain and burn it as fuel for our journey.
Kenneth Patton,We learn what we have said from those who listen to our speaking.
Keshavan Nair,"With courage you will dare to take risks, have the strength to be compassionate, and the wisdom to be humble. Courage is the foundation of integrity."
Kin Hubbard,You won't skid if you stay in a rut.
Korean proverb,"If you kick a stone in anger, you'll hurt your own foot."
Lama Yeshe,Be gentle first with yourself if you wish to be gentle with others.
Lama Yeshe,"It is never too late. Even if you are going to die tomorrow, keep yourself straight and clear and be a happy human being today."
Lao Tzu,"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves."
Lao Tzu,An ant on the move does more than a dozing ox
Lao Tzu,Anticipate the difficult by managing the easy.
Lao Tzu,At the center of your being you have the answer; you know who you are and you know what you want.
Lao Tzu,Be the chief but never the lord.
Lao Tzu,By letting it go it all gets done. The world is won by those who let it go. But when you try and try. The world is beyond the winning.
Lao Tzu,Doing nothing is better than being busy doing nothing.
Lao Tzu,From wonder into wonder existence opens.
Lao Tzu,Give a man a fish and you feed him for a day. Teach him how to fish and you feed him for a lifetime.
Lao Tzu,Great acts are made up of small deeds.
Lao Tzu,"Great indeed is the sublimity of the Creative, to which all beings owe their beginning and which permeates all heaven."
Lao Tzu,He who conquers others is strong; He who conquers himself is mighty.
Lao Tzu,"He who controls others may be powerful, but he who has mastered himself is mightier still."
Lao Tzu,He who is contented is rich.
Lao Tzu,He who knows himself is enlightened.
Lao Tzu,He who knows others is wise. He who knows himself is enlightened.
Lao Tzu,He who knows that enough is enough will always have enough.
Lao Tzu,"He who knows, does not speak. He who speaks, does not know."
Lao Tzu,He who talks more is sooner exhausted.
Lao Tzu,"I have just three things to teach: simplicity, patience, compassion. These three are your greatest treasures."
Lao Tzu,"If you correct your mind, the rest of your life will fall into place."
Lao Tzu,"If you do not change direction, you may end up where you are heading."
Lao Tzu,"If you would take, you must first give, this is the beginning of intelligence."
Lao Tzu,Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love.
Lao Tzu,Music in the soul can be heard by the universe.
Lao Tzu,"Nothing is softer or more flexible than water, yet nothing can resist it."
Lao Tzu,"One who is too insistent on his own views, finds few to agree with him."
Lao Tzu,Silence is a source of great strength.
Lao Tzu,The journey of a thousand miles begins with one step.
Lao Tzu,The key to growth is the introduction of higher dimensions of consciousness into our awareness.
Lao Tzu,"The wise man does not lay up his own treasures. The more he gives to others, the more he has for his own."
Lao Tzu,To lead people walk behind them.
Lao Tzu,"To see things in the seed, that is genius."
Lao Tzu,"When I let go of what I am, I become what I might be."
Lao Tzu,"When you realize there is nothing lacking, the whole world belongs to you."
Lao-Tzu,"All difficult things have their origin in that which is easy, and great things in that which is small."
Laozi,The power of intuitive understanding will protect you from harm until the end of your days.
Laozi,"When you are content to be simply yourself and don't compare or compete, everybody will respect you."
Larry Elder,A goal without a plan is just a wish.
Laura Teresa Marquez,"Arrogance and rudeness are training wheels on the bicycle of life, for weak people who cannot keep their balance without them."
Lauren Bacall,Imagination is the highest kite one can fly.
Lauren Raffo,Sometimes the biggest act of courage is a small one.
Laurence J. Peter,"There are two kinds of failures: those who thought and never did, and those who did and never thought."
Lawrence Peter,"If you don't know where you are going, you will probably end up somewhere else."
Lazurus Long,"Great is the art of beginning, but greater is the art of ending."
Lee Mildon,People seldom notice old clothes if you wear a big smile.
Lee Womack,"I think you can have moderate success by copying something else, but if you really want to knock it out of the park, you have to do something different and take chances."
Lena Horne,Always be smarter than the people who hire you.
Leo Aikman,"Blessed is the person who is too busy to worry in the daytime, and too sleepy to worry at night."
Leo Buscaglia,Never idealize others. They will never live up to your expectations.
Leo F. Buscaglia,Don't smother each other. No one can grow in the shade.
Leo Tolstoy,"Everyone thinks of changing the world, but no one thinks of changing himself."
Leo Tolstoy,The two most powerful warriors are patience and time.
Leo Tolstoy,We lost because we told ourselves we lost.
Leon Blum,The free man is he who does not fear to go to the end of his thought.
Leonardo da Vinci,All our knowledge has its origins in our perceptions.
Leonardo da Vinci,He who is fixed to a star does not change his mind.
Leonardo da Vinci,I have been impressed with the urgency of doing. Knowing is not enough; we must apply. Being willing is not enough; we must do.
Leonardo da Vinci,"In rivers, the water that you touch is the last of what has passed and the first of that which comes; so with present time."
Leonardo da Vinci,Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind.
Leonardo da Vinci,Nothing strengthens authority so much as silence.
Leonardo da Vinci,Time stays long enough for anyone who will use it.
Leonardo da Vinci,Who sows virtue reaps honour.
Leonardo Ruiz,The only difference between your abilities and others is the ability to put yourself in their shoes and actually try.
Les Brown,"Shoot for the moon. Even if you miss, you'll land among the stars."
Lewis B. Smedes,To forgive is to set a prisoner free and realize that prisoner was you.
Lewis Cass,"People may doubt what you say, but they will believe what you do."
Liberace,Nobody will believe in you unless you believe in yourself.
Lily Tomlin,"I always wanted to be somebody, but I should have been more specific."
Lin-yutang,I have done my best: that is about all the philosophy of living one needs.
Linda Hogan,"There is a way that nature speaks, that land speaks. Most of the time we are simply not patient enough, quiet enough, to pay attention to the story."
Lisa Alther,Thats the risk you take if you change: that people you've been involved with won't like the new you. But other people who do will come along.
Lloyd Jones,Those who try to do something and fail are infinitely better than those who try nothing and succeed.
Lord Herbert,The shortest answer is doing.
Lou Holtz,Ability is what you're capable of doing. Motivation determines what you do.Attitude determines how well you do it.
Lou Holtz,I can't believe that God put us on this earth to be ordinary.
Lou Holtz,"You were not born a winner, and you were not born a loser. You are what you make yourself be."
Louis Pasteur,Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity
Louis Pasteur,Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity.
Louisa Alcott,"I'm not afraid of storms, for Im learning how to sail my ship."
Louise Hay,The thoughts we choose to think are the tools we use to paint the canvas of our lives.
Lucille Ball,"I have an everyday religion that works for me. Love yourself first, and everything else falls into line."
Lucille Ball,Id rather regret the things that I have done than the things that I have not done.
Luisa Sigea,Blaze with the fire that is never extinguished.
Lululemon,Your outlook on life is a direct reflection on how much you like yourself.
M. Scott Peck,"Until you value yourself, you won't value your time. Until you value your time, you won't do anything with it."
Mabel Newcomber,It is more important to know where you are going than to get there quickly. Do not mistake activity for achievement.
Madame de Stael,"Society develops wit, but its contemplation alone forms genius."
Madame de Stael,Wit lies in recognizing the resemblance among things which differ and the difference between things which are alike.
Mahatma Gandhi,"It is the quality of our work which will please God, not the quantity."
Mahatma Gandhi,Our greatness lies not so much in being able to remake the world as being able to remake ourselves.
Mahatma Gandhi,Strength does not come from physical capacity. It comes from an indomitable will.
Mahatma Gandhi,We must become the change we want to see.
Mahummad Ali,To be able to give away riches is mandatory if you wish to possess them. This is the only way that you will be truly rich.
Mal Pancoast,The odds of hitting your target go up dramatically when you aim at it.
Man Ray,"It has never been my object to record my dreams, just to realize them."
Manuel Puig,I allow my intuition to lead my path.
Maori proverb,Turn your face toward the sun and the shadows will fall behind you.
Marcel Proust,Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.
Marcus Aurelius,"Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart."
Marcus Aurelius,Each day provides its own gifts.
Marcus Aurelius,Everything that exists is in a manner the seed of that which will be.
Marcus Aurelius,"Everything that happens happens as it should, and if you observe carefully, you will find this to be so."
Marcus Aurelius,"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth."
Marcus Aurelius,He who lives in harmony with himself lives in harmony with the universe.
Marcus Aurelius,He who lives in harmony with himself lives in harmony with the world.
Marcus Aurelius,If it is not right do not do it; if it is not true do not say it.
Marcus Aurelius,"Look back over the past, with its changing empires that rose and fell, and you can foresee the future, too."
Marcus Aurelius,"Loss is nothing else but change,and change is Natures delight."
Marcus Aurelius,The universe is transformation; our life is what our thoughts make it.
Marcus Aurelius,There is nothing happens to any person but what was in his power to go through with.
Marcus Aurelius,"Very little is needed to make a happy life; it is all within yourself, in your way of thinking."
Marcus Aurelius,Waste no more time arguing about what a good man should be. Be one.
Marcus Aurelius,"When you arise in the morning, think of what a precious privilege it is to be alive, to breathe, to think, to enjoy, to love."
Marcus Aurelius,"You have power over your mind, not outside events. Realize this, and you will find strength."
Margaret Bonnano,It is only possible to live happily ever after on a day to day basis.
Margaret Cousins,"Appreciation can make a day, even change a life. Your willingness to put it into words is all that is necessary."
Margaret Fuller,"If you have knowledge, let others light their candles in it."
Margaret Laurence,"Know that although in the eternal scheme of things you are small, you are also unique and irreplaceable, as are all your fellow humans everywhere in the world."
Margaret Mead,"Never doubt that a small group of thoughtful, committed people can change the world. Indeed. It is the only thing that ever has."
Margaret Runbeck,Silences make the real conversations between friends. Not the saying but the never needing to say is what counts.
Margaret Sangster,Self-complacency is fatal to progress.
Margaret Smith,The right way is not always the popular and easy way. Standing for right when it is unpopular is a true test of moral character.
Margaret Wheatley,We know from science that nothing in the universe exists as an isolated or independent entity.
Marian Edelman,You really can change the world if you care enough.
Marian Edelman,You're not obligated to win. You're obligated to keep trying to do the best you can every day.
Marianne Williamson,Joy is what happens to us when we allow ourselves to recognize how good things really are.
Marie Curie,Be less curious about people and more curious about ideas.
Marie Curie,I never see what has been done; I only see what remains to be done.
Marie Curie,"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less."
Marie Curie,Nothing in life is to be feared. It is only to be understood.
Mark Twain,A thing long expected takes the form of the unexpected when at last it comes.
Mark Twain,"Always tell the truth. That way, you don't have to remember what you said."
Mark Twain,"Happiness is a Swedish sunset, it is there for all, but most of us look the other way and lose it."
Mark Twain,Kindness is the language which the deaf can hear and the blind can see.
Mark Twain,The exercise of an extraordinary gift is the supremest pleasure in life.
Mark Twain,"There are basically two types of people. People who accomplish things, and people who claim to have accomplished things. The first group is less crowded."
Mark Twain,To get the full value of joy you must have someone to divide it with.
Mark Twain,"When in doubt, tell the truth."
Mark Twain,"Whoever is happy will make others happy, too."
Mark Twain,Wrinkles should merely indicate where smiles have been.
Marquis Vauvenargues,Wicked people are always surprised to find ability in those that are good.
Marsha Petrie Sue,Stay away from what might have been and look at what will be.
Martha Washington,"The greatest part of our happiness depends on our dispositions, not our circumstances."
Martin Fischer,Knowledge is a process of piling up facts; wisdom lies in their simplification.
"Martin Luther King, Jr.",Love is the only force capable of transforming an enemy into friend.
Mary Almanac,Who we are never changes. Who we think we are does.
Mary Bethune,"Without faith, nothing is possible. With it, nothing is impossible."
Mary Kay Ash,"Aerodynamically the bumblebee shouldn't be able to fly, but the bumblebee doesn't know that so it goes on flying anyway."
Mary Kay Ash,"For every failure, there's an alternative course of action. You just have to find it. When you come to a roadblock, take a detour."
Mary Kay Ash,Those who are blessed with the most talent don't necessarily outperform everyone else. It's the people with follow-through who excel.
Mary Morrissey,You block your dream when you allow your fear to grow bigger than your faith.
Mary Parrish,"Love vanquishes time. To lovers, a moment can be eternity, eternity can be the tick of a clock."
Mary Pickford,"If you have made mistakes, there is always another chance for you. You may have a fresh start any moment you choose."
Mary Wollstonecraft,The beginning is always today.
Matt Zotti,"Live through feeling and you will live through love. For feeling is the language of the soul, and feeling is truth."
Maureen Dowd,"The minute you settle for less than you deserve, you get even less than you settled for."
Max Planck,"It is not the possession of truth, but the success which attends the seeking after it, that enriches the seeker and brings happiness to him."
May Sarton,"A garden is always a series of losses set against a few triumphs, like life itself."
Maya Angelou,All great achievements require time.
Maya Angelou,I believe that every person is born with talent.
Maya Angelou,"If one is lucky, a solitary fantasy can totally transform one million realities."
Maya Angelou,"If you don't like something, change it. If you can't change it, change your attitude."
Maya Angelou,Nothing will work unless you do.
Maya Angelou,"Prejudice is a burden that confuses the past, threatens the future and renders the present inaccessible."
Maya Angelou,We may encounter many defeats but we must not be defeated.
Maya Angelou,"When you learn, teach. When you get, give."
Maya Lin,"To fly, we have to have resistance."
Melody Beattie,"Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow."
Michael Burke,Good instincts usually tell you what to do long before your head has figured it out.
Michael Jordan,"If you accept the expectations of others, especially negative ones, then you never will change the outcome."
Michael Korda,"To succeed, we must first believe that we can."
Michael Vance,"Life is not measured by the breaths you take, but by its breathtaking moments."
Michel de Montaigne,"I care not so much what I am to others as what I am to myself. I will be rich by myself, and not by borrowing."
Michelangelo,Faith in oneself is the best and safest course.
Michelangelo,"The greatest danger for most of us is not that our aim is too high and we miss it, but that it is too low and we reach it."
Michelangelo,There is no greater harm than that of time wasted.
Mike Ditka,You're never a loser until you quit trying.
Mohandas Gandhi,Be the change that you want to see in the world.
Mohandas Gandhi,Forgiveness is choosing to love. It is the first skill of self-giving love.
Mohandas Gandhi,Freedom is not worth having if it does not connote freedom to err.
Mohandas Gandhi,"Happiness is when what you think, what you say, and what you do are in harmony."
Mohandas Gandhi,The difference between what we do and what we are capable of doing would suffice to solve most of the worlds problems.
Mohandas Gandhi,The weak can never forgive. Forgiveness is the attribute of the strong.
Moliere,"It is not only for what we do that we are held responsible, but also for what we do not do."
Moncure Conway,The best thing in every noble dream is the dreamer...
Morris West,"If you spend your whole life waiting for the storm, you'll never enjoy the sunshine."
Mortimer Adler,"The purpose of learning is growth, and our minds, unlike our bodies, can continue growing as we continue to live."
Mother Teresa,Be faithful in small things because it is in them that your strength lies.
Mother Teresa,"Do not wait for leaders; do it alone, person to person."
Mother Teresa,"Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing."
Mother Teresa,"If you can't feed a hundred people, then feed just one."
Mother Teresa,Kind words can be short and easy to speak but their echoes are truly endless.
Mother Teresa,"Kind words can be short and easy to speak, but their echoes are truly endless."
Mother Teresa,"Let us always meet each other with smile, for the smile is the beginning of love."
Mother Teresa,Peace begins with a smile.
Mother Teresa,"We can do no great things, only small things with great love."
Mother Teresa,We shall never know all the good that a simple smile can do.
Muriel Rukeyser,"The universe is made of stories, not atoms."
Murray Gell-Mann,Think how hard physics would be if particles could think.
Naguib Mahfouz,You can tell whether a man is clever by his answers. You can tell whether a man is wise by his questions.
Naomi Williams,It is impossible to feel grateful and depressed in the same moment.
Napoleon Bonaparte,He who fears being conquered is sure of defeat.
Napoleon Bonaparte,"If you want a thing done well, do it yourself."
Napoleon Bonaparte,Imagination rules the world.
Napoleon Bonaparte,"Take time to deliberate, but when the time for action has arrived, stop thinking and go in."
Napoleon Bonaparte,The best cure for the body is a quiet mind.
Napoleon Bonaparte,The truest wisdom is a resolute determination.
Napoleon Bonaparte,"To do all that one is able to do, is to be a man; to do all that one would like to do, is to be a god."
Napoleon Bonaparte,Victory belongs to the most persevering.
Napoleon Hill,A goal is a dream with a deadline.
Napoleon Hill,"All achievements, all earned riches, have their beginning in an idea."
Napoleon Hill,"Cherish your visions and your dreams as they are the children of your soul, the blueprints of your ultimate achievements."
Napoleon Hill,Cherish your visions and your dreams as they are the children of your soul; the blueprints of your ultimate achievements.
Napoleon Hill,Don't wait. The time will never be just right.
Napoleon Hill,"Edison failed 10,000 times before he made the electric light. Do not be discouraged if you fail a few times."
Napoleon Hill,"Every adversity, every failure, every heartache carries with it the seed of an equal or greater benefit."
Napoleon Hill,Fears are nothing more than a state of mind.
Napoleon Hill,"First comes thought; then organization of that thought, into ideas and plans; then transformation of those plans into reality. The beginning, as you will observe, is in your imagination."
Napoleon Hill,"Happiness is found in doing, not merely possessing."
Napoleon Hill,"Here is one quality that one must possess to win, and that is definiteness of purpose, the knowledge of what one wants, and a burning desire to possess it."
Napoleon Hill,Ideas are the beginning points of all fortunes.
Napoleon Hill,"If you cannot do great things, do small things in a great way."
Napoleon Hill,Most great people have attained their greatest success just one step beyond their greatest failure.
Napoleon Hill,No alibi will save you from accepting the responsibility.
Napoleon Hill,No man can succeed in a line of endeavor which he does not like.
Napoleon Hill,"Opportunity often comes disguised in the form of misfortune, or temporary defeat."
Napoleon Hill,The ladder of success is never crowded at the top.
Napoleon Hill,The world has the habit of making room for the man whose actions show that he knows where he is going.
Napoleon Hill,There are no limitations to the mind except those we acknowledge.
Napoleon Hill,When your desires are strong enough you will appear to possess superhuman powers to achieve.
Napoleon Hill,You can do it if you believe you can!
Napoleon Hill,You give before you get.
Napoleon Hill,You might well remember that nothing can bring you success but yourself.
Napoleon Hill,Your big opportunity may be right where you are now.
Nathaniel Hawthorne,"Happiness is as a butterfly which, when pursued, is always beyond our grasp, but which if you will sit down quietly, may alight upon you."
Nelson Mandela,"And as we let our own light shine, we unconsciously give other people permission to do the same."
Nelson Mandela,"As we are liberated from our own fear, our presence automatically liberates others."
Nelson Mandela,There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered.
Niccolo Machiavelli,"Men in general judge more from appearances than from reality. All men have eyes, but few have the gift of penetration."
Niels Bohr,How wonderful that we have met with a paradox. Now we have some hope of making progress.
Nietzsche,You need chaos in your soul to give birth to a dancing star.
Nikola Tesla,"Let the future tell the truth, and evaluate each one according to his work and accomplishments. The present is theirs; the future, for which I have really worked, is mine."
Nikola Tesla,"Our virtues and our failings are inseparable, like force and matter. When they separate, man is no more."
Nikos Kazantzakis,"By believing passionately in something that does not yet exist, we create it."
Nora Roberts,"If you don't go after what you want, you'll never have it. If you don't ask, the answer is always no. If you don't step forward, you're always in the same place."
Norman Cousins,"Never deny a diagnosis, but do deny the negative verdict that may go with it."
Norman Peale,"If you want things to be different, perhaps the answer is to become different yourself."
Norman Schwarzkopf,The truth of the matter is that you always know the right thing to do. The hard part is doing it.
Og Mandino,"Always do your best. What you plant now, you will harvest later."
Og Mandino,Always seek out the seed of triumph in every adversity.
Og Mandino,Each misfortune you encounter will carry in it the seed of tomorrows good luck.
Og Mandino,Failure will never overtake me if my determination to succeed is strong enough.
Og Mandino,"I seek constantly to improve my manners and graces, for they are the sugar to which all are attracted."
Og Mandino,"I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars."
Old German proverb,"You have to take it as it happens, but you should try to make it happen the way you want to take it."
Oliver Holmes,"A man may fulfil the object of his existence by asking a question he cannot answer, and attempting a task he cannot achieve."
Oliver Holmes,Love is the master key that opens the gates of happiness.
Oliver Holmes,"We do not quit playing because we grow old, we grow old because we quit playing."
Oliver Holmes,What lies behind us and what lies before us are small matters compared to what lies within us.
